timestamp,value,anomaly_score
2014-07-01 00:00:00,10844.0,1.000,1
2014-07-01 00:30:00,8127.0,1.000,2
2014-07-01 01:00:00,6210.0,1.000,3
2014-07-01 01:30:00,4656.0,1.000,4
2014-07-01 02:00:00,3820.0,1.000,5
2014-07-01 02:30:00,2873.0,1.000,6
2014-07-01 03:00:00,2369.0,0.950,7
2014-07-01 03:30:00,2064.0,1.000,8
2014-07-01 06:00:00,6526.0,1.000,13
2014-07-01 06:30:00,11039.0,1.000,14
2014-07-01 07:00:00,13857.0,1.000,15
2014-07-01 07:30:00,15865.0,1.000,16
2014-07-01 08:00:00,17920.0,1.000,17
2014-07-01 08:30:00,20346.0,1.000,18
2014-07-01 09:00:00,19539.0,1.000,19
2014-07-01 17:00:00,17203.0,1.000,35
2014-07-01 18:30:00,27598.0,1.000,38
2014-07-01 19:00:00,26827.0,1.000,39
2014-07-01 19:30:00,24904.0,1.000,40
2014-07-01 20:00:00,22875.0,1.000,41
2014-07-01 20:30:00,20394.0,0.975,42
2014-07-01 21:00:00,23401.0,1.000,43
2014-07-01 23:30:00,16111.0,1.000,48
2014-07-02 00:00:00,13370.0,1.000,49
2014-07-02 00:30:00,9945.0,1.000,50
